รหัสเขต,รหัสโรงเรียน,ประเภท,รวม
2564-3,86010068,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010069,นักเรียนจบทั้งหมด,29
2564-3,86010069,โรงเรียนเดิม,16
2564-3,86010069,โรงเรียนอื่น สังกัด สพฐ.,13
2564-3,86010069,โรงเรียนสังกัดเอกชน,0
2564-3,86010069,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010069,กศน.,0
2564-3,86010069,อื่น ๆ,0
2564-3,86010069,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010070,นักเรียนจบทั้งหมด,23
2564-3,86010070,โรงเรียนเดิม,0
2564-3,86010070,โรงเรียนอื่น สังกัด สพฐ.,23
2564-3,86010070,โรงเรียนสังกัดเอกชน,0
2564-3,86010070,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010070,กศน.,0
2564-3,86010070,อื่น ๆ,0
2564-3,86010070,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010071,นักเรียนจบทั้งหมด,15
2564-3,86010071,โรงเรียนเดิม,11
2564-3,86010071,โรงเรียนอื่น สังกัด สพฐ.,4
2564-3,86010071,โรงเรียนสังกัดเอกชน,0
2564-3,86010071,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010071,กศน.,0
2564-3,86010071,อื่น ๆ,0
2564-3,86010071,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010072,นักเรียนจบทั้งหมด,14
2564-3,86010072,โรงเรียนเดิม,0
2564-3,86010072,โรงเรียนอื่น สังกัด สพฐ.,14
2564-3,86010072,โรงเรียนสังกัดเอกชน,0
2564-3,86010072,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010072,กศน.,0
2564-3,86010072,อื่น ๆ,0
2564-3,86010072,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010073,นักเรียนจบทั้งหมด,12
2564-3,86010073,โรงเรียนเดิม,0
2564-3,86010073,โรงเรียนอื่น สังกัด สพฐ.,12
2564-3,86010073,โรงเรียนสังกัดเอกชน,0
2564-3,86010073,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010073,กศน.,0
2564-3,86010073,อื่น ๆ,0
2564-3,86010073,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010075,นักเรียนจบทั้งหมด,1
2564-3,86010075,โรงเรียนเดิม,0
2564-3,86010075,โรงเรียนอื่น สังกัด สพฐ.,0
2564-3,86010075,โรงเรียนสังกัดเอกชน,0
2564-3,86010075,โรงเรียนพระปริยัติธรรม แผนกสามัญ,1
2564-3,86010075,กศน.,0
2564-3,86010075,อื่น ๆ,0
2564-3,86010075,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010076,นักเรียนจบทั้งหมด,38
2564-3,86010076,โรงเรียนเดิม,0
2564-3,86010076,โรงเรียนอื่น สังกัด สพฐ.,37
2564-3,86010076,โรงเรียนสังกัดเอกชน,0
2564-3,86010076,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010076,กศน.,0
2564-3,86010076,อื่น ๆ,1
2564-3,86010076,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010077,นักเรียนจบทั้งหมด,4
2564-3,86010077,โรงเรียนเดิม,0
2564-3,86010077,โรงเรียนอื่น สังกัด สพฐ.,4
2564-3,86010077,โรงเรียนสังกัดเอกชน,0
2564-3,86010077,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010077,กศน.,0
2564-3,86010077,อื่น ๆ,0
2564-3,86010077,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010078,นักเรียนจบทั้งหมด,13
2564-3,86010078,โรงเรียนเดิม,0
2564-3,86010078,โรงเรียนอื่น สังกัด สพฐ.,13
2564-3,86010078,โรงเรียนสังกัดเอกชน,0
2564-3,86010078,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010078,กศน.,0
2564-3,86010078,อื่น ๆ,0
2564-3,86010078,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010079,นักเรียนจบทั้งหมด,78
2564-3,86010079,โรงเรียนเดิม,0
2564-3,86010079,โรงเรียนอื่น สังกัด สพฐ.,78
2564-3,86010079,โรงเรียนสังกัดเอกชน,0
2564-3,86010079,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010079,กศน.,0
2564-3,86010079,อื่น ๆ,0
2564-3,86010079,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010080,นักเรียนจบทั้งหมด,30
2564-3,86010080,โรงเรียนเดิม,23
2564-3,86010080,โรงเรียนอื่น สังกัด สพฐ.,5
2564-3,86010080,โรงเรียนสังกัดเอกชน,2
2564-3,86010080,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010080,กศน.,0
2564-3,86010080,อื่น ๆ,0
2564-3,86010080,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010083,นักเรียนจบทั้งหมด,99
2564-3,86010083,โรงเรียนเดิม,71
2564-3,86010083,โรงเรียนอื่น สังกัด สพฐ.,28
2564-3,86010083,โรงเรียนสังกัดเอกชน,0
2564-3,86010083,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010083,กศน.,0
2564-3,86010083,อื่น ๆ,0
2564-3,86010083,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010089,นักเรียนจบทั้งหมด,13
2564-3,86010089,โรงเรียนเดิม,0
2564-3,86010089,โรงเรียนอื่น สังกัด สพฐ.,0
2564-3,86010089,โรงเรียนสังกัดเอกชน,0
2564-3,86010089,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010089,กศน.,0
2564-3,86010089,อื่น ๆ,13
2564-3,86010089,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010090,นักเรียนจบทั้งหมด,27
2564-3,86010090,โรงเรียนเดิม,0
2564-3,86010090,โรงเรียนอื่น สังกัด สพฐ.,23
2564-3,86010090,โรงเรียนสังกัดเอกชน,3
2564-3,86010090,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010090,กศน.,1
2564-3,86010090,อื่น ๆ,0
2564-3,86010090,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010091,นักเรียนจบทั้งหมด,5
2564-3,86010091,โรงเรียนเดิม,0
2564-3,86010091,โรงเรียนอื่น สังกัด สพฐ.,5
2564-3,86010091,โรงเรียนสังกัดเอกชน,0
2564-3,86010091,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010091,กศน.,0
2564-3,86010091,อื่น ๆ,0
2564-3,86010091,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010092,นักเรียนจบทั้งหมด,24
2564-3,86010092,โรงเรียนเดิม,18
2564-3,86010092,โรงเรียนอื่น สังกัด สพฐ.,6
2564-3,86010092,โรงเรียนสังกัดเอกชน,0
2564-3,86010092,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010092,กศน.,0
2564-3,86010092,อื่น ๆ,0
